Sample,Metal,ERI,Classification,Interpretation
AJA14,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA15,Fe,0.524,Low Risk,Minimal ecological threat.
AJA15,Pb,34.0,Low Risk,Minimal ecological threat.
AJA15,Cu,36.0,Low Risk,Minimal ecological threat.
AJA15,Cr,4.2,Low Risk,Minimal ecological threat.
AJA15,Mn,1.67,Low Risk,Minimal ecological threat.
AJA15,Zn,3.35,Low Risk,Minimal ecological threat.
AJA15,Ni,10.0,Low Risk,Minimal ecological threat.
AJA15,Co,15.0,Low Risk,Minimal ecological threat.
AJA15,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA16,Fe,0.566,Low Risk,Minimal ecological threat.
AJA16,Pb,33.5,Low Risk,Minimal ecological threat.
AJA16,Cu,36.5,Low Risk,Minimal ecological threat.
AJA16,Cr,4.4,Low Risk,Minimal ecological threat.
AJA16,Mn,1.65,Low Risk,Minimal ecological threat.
AJA16,Zn,3.15,Low Risk,Minimal ecological threat.
AJA16,Ni,10.0,Low Risk,Minimal ecological threat.
AJA16,Co,15.0,Low Risk,Minimal ecological threat.
AJA16,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA17,Fe,0.597,Low Risk,Minimal ecological threat.
AJA17,Pb,36.0,Low Risk,Minimal ecological threat.
AJA17,Cu,38.0,Low Risk,Minimal ecological threat.
AJA17,Cr,4.5,Low Risk,Minimal ecological threat.
AJA17,Mn,1.7199999999999998,Low Risk,Minimal ecological threat.
AJA17,Zn,3.3000000000000003,Low Risk,Minimal ecological threat.
AJA17,Ni,12.5,Low Risk,Minimal ecological threat.
AJA17,Co,15.0,Low Risk,Minimal ecological threat.
AJA17,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA18,Fe,0.221,Low Risk,Minimal ecological threat.
AJA18,Pb,24.0,Low Risk,Minimal ecological threat.
AJA18,Cu,31.0,Low Risk,Minimal ecological threat.
AJA18,Cr,2.9,Low Risk,Minimal ecological threat.
AJA18,Mn,0.8699999999999999,Low Risk,Minimal ecological threat.
AJA18,Zn,3.1,Low Risk,Minimal ecological threat.
AJA18,Ni,7.5,Low Risk,Minimal ecological threat.
AJA18,Co,15.0,Low Risk,Minimal ecological threat.
AJA18,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA19,Fe,2.308,Low Risk,Minimal ecological threat.
AJA19,Pb,32.0,Low Risk,Minimal ecological threat.
AJA19,Cu,36.0,Low Risk,Minimal ecological threat.
AJA19,Cr,4.4,Low Risk,Minimal ecological threat.
AJA19,Mn,1.4299999999999995,Low Risk,Minimal ecological threat.
AJA19,Zn,3.15,Low Risk,Minimal ecological threat.
AJA19,Ni,7.5,Low Risk,Minimal ecological threat.
AJA19,Co,15.0,Low Risk,Minimal ecological threat.
AJA19,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA20,Fe,0.469,Low Risk,Minimal ecological threat.
AJA20,Pb,35.5,Low Risk,Minimal ecological threat.
AJA20,Cu,34.5,Low Risk,Minimal ecological threat.
AJA20,Cr,3.5999999999999996,Low Risk,Minimal ecological threat.
AJA20,Mn,1.69,Low Risk,Minimal ecological threat.
AJA20,Zn,3.1,Low Risk,Minimal ecological threat.
AJA20,Ni,7.5,Low Risk,Minimal ecological threat.
AJA20,Co,15.0,Low Risk,Minimal ecological threat.
AJA20,Cd,60.0,Moderate Risk,Moderate ecological risk.
AJA21,Fe,1.906,Low Risk,Minimal ecological threat.
AJA21,Pb,65.5,Moderate Risk,Moderate ecological risk.
AJA21,Cu,50.5,Moderate Risk,Moderate ecological risk.
AJA21,Cr,4.1,Low Risk,Minimal ecological threat.
AJA21,Mn,3.22,Low Risk,Minimal ecological threat.
AJA21,Zn,17.549999999999997,Low Risk,Minimal ecological threat.
AJA21,Ni,102.5,Considerable Risk,Significant ecological threat.
AJA21,Co,30.0,Low Risk,Minimal ecological threat.
AJA21,Cd,840.0,Very High Risk,Severe ecological damage.
AJA22,Fe,1.348,Low Risk,Minimal ecological threat.
AJA22,Pb,57.0,Moderate Risk,Moderate ecological risk.
AJA22,Cu,49.0,Moderate Risk,Moderate ecological risk.
AJA22,Cr,3.8,Low Risk,Minimal ecological threat.
AJA22,Mn,2.9799999999999995,Low Risk,Minimal ecological threat.
AJA22,Zn,16.85,Low Risk,Minimal ecological threat.
AJA22,Ni,90.0,Considerable Risk,Significant ecological threat.
AJA22,Co,30.0,Low Risk,Minimal ecological threat.
AJA22,Cd,1050.0,Very High Risk,Severe ecological damage.
AJA23,Fe,1.312,Low Risk,Minimal ecological threat.
AJA23,Pb,66.5,Moderate Risk,Moderate ecological risk.
AJA23,Cu,54.0,Moderate Risk,Moderate ecological risk.
AJA23,Cr,4.0,Low Risk,Minimal ecological threat.
AJA23,Mn,3.36,Low Risk,Minimal ecological threat.
AJA23,Zn,14.4,Low Risk,Minimal ecological threat.
AJA23,Ni,97.5,Considerable Risk,Significant ecological threat.
AJA23,Co,25.0,Low Risk,Minimal ecological threat.
AJA23,Cd,660.0,Very High Risk,Severe ecological damage.
AJA24,Fe,1.449,Low Risk,Minimal ecological threat.
AJA24,Pb,64.0,Moderate Risk,Moderate ecological risk.
AJA24,Cu,60.0,Moderate Risk,Moderate ecological risk.
AJA24,Cr,3.5000000000000004,Low Risk,Minimal ecological threat.
AJA24,Mn,2.74,Low Risk,Minimal ecological threat.
AJA24,Zn,15.25,Low Risk,Minimal ecological threat.
AJA24,Ni,112.5,Considerable Risk,Significant ecological threat.
AJA24,Co,30.0,Low Risk,Minimal ecological threat.
AJA24,Cd,330.0,Very High Risk,Severe ecological damage.
AJA25,Fe,1.27,Low Risk,Minimal ecological threat.
AJA25,Pb,69.5,Moderate Risk,Moderate ecological risk.
AJA25,Cu,58.5,Moderate Risk,Moderate ecological risk.
AJA25,Cr,3.1,Low Risk,Minimal ecological threat.
AJA25,Mn,3.01,Low Risk,Minimal ecological threat.
AJA25,Zn,14.85,Low Risk,Minimal ecological threat.
AJA25,Ni,87.5,Considerable Risk,Significant ecological threat.
AJA25,Co,30.0,Low Risk,Minimal ecological threat.
AJA25,Cd,240.0,High Risk,Serious ecological impact.
